train_times 	 yolo_epochs 	 cnn_model 	 mAp 	 train_acc 	 val_acc
2	1	1	0.0	0.9097222222222222	0.9444444444444444
4	1	1	0.3028571428571428	0.8611111111111112	0.9444444444444444
8	1	1	0.2368131868131868	0.8680555555555556	1.0
4	1	1	0.2442364532019704	0.8958333333333334	1.0
4	2	1	0.5988210519986542	0.9583333333333334	1.0
4	3	1	0.7128083529543596	0.8611111111111112	0.9444444444444444
4	2	1	0.7127028421999699	0.8333333333333334	0.9166666666666666
4	2	2	0.7127028421999699	0.9930555555555556	1.0
4	2	3	0.7127028421999699	0.9930555555555556	1.0
